Sample Filename,Language
01zylryaq2g.mp3,Paez
0212dipopry.mp3,Bicolano Central
021y5d5ejve.mp3,Mentawai
0223ch2lmbv.mp3,Shilluk
0223t4jg2pm.mp3,Vietnamese
022lhc0xj2t.mp3,Chinantec de Usila
0233qkpak0n.mp3,Arabic Egyptian Spoken
023aiz3pllo.mp3,Jingpho
023gmk4oswo.mp3,Kyrgyz
023iy2kteu5.mp3,Quechua North Junin
023rl3zevdg.mp3,Tucano
024lxwrnnet.mp3,Musgu
024oiqkq5eu.mp3,Kilivila Kiriwina
024rkwy3lll.mp3,Pamona_Bahasa Taa
0254ksx1ev3.mp3,Chayahuita Shawi
025vx2shsul.mp3,Napu
02b2umafzor.mp3,Jingpho
02blgw1w5lk.mp3,Ignaciano
02bmyapbzpm.mp3,Kyrgyz
02d1fe5nkm1.mp3,Parecis
02ds125rpwa.mp3,Hiligaynon
02dsgcjm0b5.mp3,Dangaleat
02e1ymhzmb4.mp3,Jola Kasa
02ekmmatj0j.mp3,Adiokrou
02eqpd5jop1.mp3,Bekwarra
02fb0nrtuio.mp3,Bokyi
02fgy5ynohd.mp3,Jur Modo
02fumud3gxr.mp3,Tektiteko
02gzxukuem2.mp3,Nahuatl Northern Puebla
02hasngy0qu.mp3,Khasi
02i5r1u2vfh.mp3,Cofan
02iytqgl4xj.mp3,Cakchiquel South Central
02jf4hprb1e.mp3,Moro
02ldfel1lxb.mp3,Lobi
02ls0wciyal.mp3,Luwo
02mwdxyfopn.mp3,Teso
02na1ws4uex.mp3,Sango
02nv1dfg4kx.mp3,Morisyen
02o45ymsz1e.mp3,MofuGudur
02ofo4dx2xq.mp3,Korean North
02otbkyz10r.mp3,Teribe
02p1ktnookn.mp3,Yali Angguruk
02pbhbq54jm.mp3,Tektiteko
02pkp0ocbfj.mp3,Malagasy Plateau
02prnp5zvqi.mp3,Nahuatl Highland Puebla
02q1a5vdv2x.mp3,Kumyk
02qf0vpy20w.mp3,Aruamu
02qulf2lw5b.mp3,Parecis
02r23gq3xe0.mp3,Chinantec de Usila
02r2orclh35.mp3,Ojibwa Northwestern
02rod4v1q2e.mp3,Murle
02soz5vdxez.mp3,Quechua Southern Pastaza
02t5br3kfbf.mp3,Ticuna
02tdurmdsxe.mp3,Waiwai
02tp5yxfad0.mp3,Peve
02wz2pgdr1q.mp3,Gamo
02xbpexqqps.mp3,Nahuatl Highland Puebla
02xguoi0bkn.mp3,Kuman
032dxzmlpx2.mp3,Aymara
0332gema1sr.mp3,Teso
0335fw0fj2y.mp3,Chinantec de Usila
033uiodjat5.mp3,Peve
034blinjml4.mp3,Quechua MargosYarowilcaLauricocha
034cu4jtitb.mp3,Quechua Southern Pastaza
034fgwj2iob.mp3,Tuva
034zbtnfcxe.mp3,Biate
0350d3vnuki.mp3,Bora
03a0uxhy2sx.mp3,Tucano
03aelahwdon.mp3,Alangan
03awkf3ykuo.mp3,Sasak
03bnb1oik2k.mp3,Lao
03cgxnbzx1b.mp3,Otomi Mezquital
03chhzxuor3.mp3,Lampung Api
03d111mwexi.mp3,Paez
03d3aa2li2j.mp3,Tol
03dy2hjbo3a.mp3,Kumyk
03eeeefu1xb.mp3,Morisyen
03ezvzxe4jw.mp3,Huli
03gdmvadk50.mp3,Nahuatl Highland Puebla
03gfhmhq5eb.mp3,Nahuatl Guerrero
03gmelsmkmg.mp3,Zapotec Sierra de Juarez
03his35hw41.mp3,Madi
03hl0holuci.mp3,Arabic
03i4wvbscji.mp3,Quechua Southern Pastaza
03i5cvsjb54.mp3,Arabic Egyptian Spoken
03icabixjay.mp3,Tepehua Pisaflores
03izp5mqxhp.mp3,Adiokrou
03jw4pbvv4q.mp3,Kashinawa
03kcepdtdgq.mp3,Themne
03krvo1yhw5.mp3,Huli
03kszo3f1ce.mp3,Albanian Tosk
03lar4q3trx.mp3,Duala
03leaofuj3m.mp3,Wichi Lhamtes Nocten Weenhayek
03ltxxt5dqu.mp3,Anufo
03mbl4talpo.mp3,MofuGudur
03mhq5zq1yc.mp3,Wichi Lhamtes Nocten Weenhayek
03my3bdb14o.mp3,Dinka Northeastern
03n4amxbulu.mp3,Nahuatl Northern Puebla
03neyccczlc.mp3,Gamo
03niqkkvddm.mp3,Quechua Southern Conchucos Ancash
03np21vcspd.mp3,Karakalpak
03ntsedaupm.mp3,Samoan
03o2w5wasmc.mp3,Dutch
03pd0v1rvze.mp3,Hiligaynon
03pqujpaiph.mp3,Adiokrou
03qxqzf3vzx.mp3,Sauria Paharia
03qz0nal5et.mp3,Kok Borok
03rdbgg5jjq.mp3,Altai Southern
03tg3zqkkss.mp3,Malay
03ttirwuqb3.mp3,Bali
03u3do5ucjn.mp3,Pokoot
03uq11ltmme.mp3,Belize Kriol English
03vmwuaam4q.mp3,Quechua Southern Pastaza
03wen1hhsok.mp3,Zapotec Sierra de Juarez
03xc1hoj3sw.mp3,Vietnamese
03xhux5mboc.mp3,Zapotec Isthmus
03xkvracdze.mp3,Tamasheq
03znt0h1vhi.mp3,Dangaleat
03zoubbtbnp.mp3,Luwo
040sjyzqeqp.mp3,Peve
040xd3ldqpj.mp3,Paez
040y3h5zvw1.mp3,Dangaleat
041pl5f1zdo.mp3,MofuGudur
041yltatxlq.mp3,Marba_Azumeina
042q43n35yr.mp3,Korean North
04335cwan1w.mp3,Vietnamese
043brr5crdl.mp3,Yali Angguruk
043clo4jjms.mp3,Jingpho
043imsm4m1l.mp3,Ignaciano
043kkaofne2.mp3,Alangan
044k2ryjo5j.mp3,Tamasheq
044sbbv3fe1.mp3,Avokaya
045kqihy3lj.mp3,Bicolano Central
04bvscfj3gh.mp3,Ixil Nebaj
04bx5ifhavt.mp3,Thai
04cdnioud4s.mp3,Malay
04ctcskyn0z.mp3,Palaung Ruching
04dulkzave0.mp3,Terena
04fkwzzqdwj.mp3,Ipili
04fm5wqnonw.mp3,Nigerian Pidgin
04ggjtuxemc.mp3,Kumyk
04h4wvvoz3d.mp3,Yali Angguruk
04hehvucfpo.mp3,Tamasheq
04hfucubuhb.mp3,Jur Modo
04hwcq2svjh.mp3,Teribe
04i0liicw4t.mp3,Cakchiquel South Central
04j1xy3siiz.mp3,Khasi
04kb41yzwqz.mp3,Quechua Eastern
04kqts2vv1i.mp3,Bicolano Central
04kt2j5tv1q.mp3,Pijin
04lomm2relf.mp3,Peve
04m1ch2oknq.mp3,Sanuma
04m3torwtxa.mp3,Arabic Egyptian Spoken
04mhjydvoay.mp3,Dan East
04mwv12klmk.mp3,Akoose
04n52s1rwyc.mp3,Themne
04netltggy3.mp3,Munukutuba
04ni1ngt11d.mp3,Bhojpuri
04ntdgz4juj.mp3,Zapotec Isthmus
04owxsxfnu0.mp3,Tektiteko
04penlgjauq.mp3,Yali Angguruk
04rdbrlugvp.mp3,Bokyi
04ro2luizdg.mp3,Tamasheq
04s5k4sungk.mp3,Kannada
04tmpcmr005.mp3,Kazakh
04uimuxlc1m.mp3,Aruamu
04umtynwz51.mp3,Ignaciano
04uytwhakc2.mp3,ShipiboConibo
04vjbban3sb.mp3,Garhwali
04wov00bybm.mp3,Tektiteko
04wr0dj2p05.mp3,Dangaleat
04wrwkaedwc.mp3,Akoose
04xe05hfn00.mp3,Fai South
050ck1jju0e.mp3,Chinantec de Usila
050wli3sxha.mp3,Kumyk
051204pxiae.mp3,Kalabari
05141a21qqp.mp3,Kok Borok
051f4mmevf3.mp3,Kumyk
051pht23qbf.mp3,Akha
052bpmzkemu.mp3,Akoose
052jkbahms3.mp3,Ixil Nebaj
052kr3sduks.mp3,MofuGudur
0534ty5sskt.mp3,Avokaya
053d1hb3ecr.mp3,Romani Sinti
054fitjtuds.mp3,Arabic Egyptian Spoken
054hcwoerz2.mp3,Ignaciano
054nhdsn3pq.mp3,Belize Kriol English
054quezk5o2.mp3,Tepehua Tlachichilco
054wrh0qvdo.mp3,Hmong Daw
055ju3sz2mb.mp3,Murle
055mcuifllo.mp3,Khmer Northern
055n2io2cze.mp3,Ipili
05ahntidjb2.mp3,KalmykOirat
05amzqzmfov.mp3,Wichi Lhamtes Nocten Weenhayek
05av5kypf2h.mp3,Mixtec Ayutla
05bncv4l1m3.mp3,Azerbaijani North
05c1b10myl0.mp3,Tamasheq
05coaiwl4bh.mp3,Kok Borok
05cp04kk13i.mp3,Hmong Daw
05cpsjxr4fy.mp3,Pokoot
05cznb3suhh.mp3,Pamona_Bahasa Taa
05daobbpydk.mp3,Otomi Mezquital
05dfhalslt0.mp3,Kok Borok
05diwmvqqx1.mp3,Kalabari
05e2reerqjx.mp3,Shuar
05etbrmkn0i.mp3,Bench
05f2vp5dnqj.mp3,Adiokrou
05g5xhqib51.mp3,Kuman
05gihlk5qve.mp3,Naga Ao
05gmuplwpbj.mp3,Akoose
05goct1es5m.mp3,Eleme
05gyupogsqx.mp3,ShipiboConibo
05gzzppse5b.mp3,Kolami Northwestern
05ijwew1fqg.mp3,Kuman
05iny4lmjzn.mp3,Musgu
05ivirbs2qp.mp3,Ese Ejja
05k14vpbvb3.mp3,Awa PNG
05lcuqrrmbs.mp3,Avokaya
05lmfx2lazs.mp3,Akha
05lmgsr2g0w.mp3,Romani Sinti
05ly01vv43x.mp3,Tol
05m25tehoj4.mp3,Patamona
05mbas0uiyc.mp3,Oromo Eastern
05mzhl04dxh.mp3,Pamona_Bahasa Taa
05nppkkguca.mp3,Ese Ejja
05oe0gz30oa.mp3,Alangan
05oqimg0a43.mp3,Palaung Ruching
05ou15mwfxg.mp3,Bali
05pxdgceyoc.mp3,Sasak
05qzqdxd232.mp3,Huave de San Mateo del Mar
05rxuthx4bs.mp3,Biate
05sefxzg1ik.mp3,Javanese
05t0x5bmyu1.mp3,Pokoot
05tix3lpswl.mp3,Chuj Ixtatan
05tw4fcq11w.mp3,Ese Ejja
05tzzorv4rd.mp3,Ignaciano
05uakcqjrfk.mp3,Sanuma
05uipha1itb.mp3,Hindi
05wgudqfwzr.mp3,Khasi
05wlvekyzty.mp3,Ixil Nebaj
05wodz2ejvv.mp3,Quechua Southern Conchucos Ancash
05xeuj24ml2.mp3,Palaung Ruching
05ypkxi1pxb.mp3,Yali Angguruk
05zsg1vajf1.mp3,Maka
05zw1q10xdd.mp3,Carib
0a01sbrr4tq.mp3,Luwo
0a0p10uya0h.mp3,Parecis
0a0sasc4be2.mp3,Hiligaynon
0a3hcskiu4u.mp3,Aymara
0a3ltajwksh.mp3,Parecis
0a3qheozh43.mp3,Mazahua Central
0a4f3pibqb1.mp3,Madi
0a4jwgjox3s.mp3,Albanian Tosk
0a4vxzprwem.mp3,Napu
0a4w22penhi.mp3,Chinantec de Usila
0a5eixsdsx2.mp3,Quechua Eastern
0a5h2q5r4l5.mp3,Alangan
0aaatsgitup.mp3,Bru Eastern
0aardcafriy.mp3,Kumyk
0aaus1iol2h.mp3,Jola Kasa
0aboxbqzx2n.mp3,Bicolano Central
0abyp4czxgr.mp3,Aymara
0acbkn5sl3x.mp3,Tamasheq
0acwgcalkob.mp3,Sebat Bet Gurage_Gurage Chaha
0acwmldxgzf.mp3,Biate
0adiw4jd2vh.mp3,Korean South
0ado2ukulj5.mp3,Huli
0adw4o0vvko.mp3,Zapotec Isthmus
0adwmdtxbwk.mp3,Sango
0aedosuzh5j.mp3,Parecis
0aelyqjxzjq.mp3,Nigerian Pidgin
0aeprbmekrb.mp3,Kok Borok
0agau5xpaui.mp3,Arabic Sudanese Spoken
0ags4n41shp.mp3,Kera
0ahnl5arhs2.mp3,Tuva
0aht55mhvic.mp3,Arabic Sudanese Spoken
0ahy4d3cq3w.mp3,Anufo
0ajkmh1elny.mp3,Vietnamese
0ajlu0gmvg0.mp3,Kumyk
0ak1jp1z1xe.mp3,Alangan
0ametwshuyz.mp3,Eleme
0an5rwx3tzl.mp3,Tektiteko
0anskha4rny.mp3,Avokaya
0anxcugagfg.mp3,Lampung Api
0ao04vs1uwf.mp3,Chinantec de Usila
0apaonvlr0c.mp3,Romani Sinti
0apcnfdd40e.mp3,Polish
0aqoteylzkz.mp3,Tol
0aqws40nzu5.mp3,Lampung Api
0arta3rjzjw.mp3,Nahuatl Northern Puebla
0asgtm2tyue.mp3,Kuman
0asientdpad.mp3,Waiwai
0asqdcv4fpj.mp3,Nahuatl Guerrero
0asqnv2y0ba.mp3,Moro
0asrlxt13jq.mp3,Murle
0auarszhcxo.mp3,Madi
0auavs1zjfs.mp3,Zapotec Sierra de Juarez
0auix0bna5p.mp3,Ipili
0aumbxzf3ut.mp3,Kui
0auuwwxkfyl.mp3,Khasi
0av2z5ff4dk.mp3,Huli
0av5siduzz4.mp3,Mazahua Central
0avkp1jfwmw.mp3,KalmykOirat
0avp1jedsmy.mp3,Huli
0aw2ahmvu0o.mp3,Kyrgyz
0aw2jb2byhk.mp3,Mongondow
0awkkpyeeli.mp3,Paumari
0ax00d44hec.mp3,Palaung Ruching
0axeeqw44ni.mp3,Sango
0ayc1jl5ztv.mp3,Sebat Bet Gurage_Gurage Chaha
0ayf2i4a32u.mp3,Konso
0b0pkuhjual.mp3,Duala
0b0pprwcpuz.mp3,Samoan
0b0rjtqmmos.mp3,Romani Sinti
0b0wwgzxa4e.mp3,Duala
0b1jkzj2vwa.mp3,Dutch
0b1qvo1eivi.mp3,Maya Mopan
0b2k0h4qa4d.mp3,Musgu
0b2tm3j52vj.mp3,Patamona
0b3jltgvurj.mp3,Nahuatl Highland Puebla
0b4bluvhblj.mp3,Khasi
0b4wo1u4t3z.mp3,Arabic
0b5fy4402li.mp3,Alladian
0b5q552oic0.mp3,Palauan
0b5xbksfgdp.mp3,Kumyk
0baikrinxwh.mp3,Oromo Eastern
0bax2qxgxsr.mp3,Mixtec Ayutla
0bax5j4qyfo.mp3,Kyrgyz
0bb12a25bjm.mp3,Chayahuita Shawi
0bb5znxmiav.mp3,Azerbaijani North
0bbrwb3v0oq.mp3,Hmong Daw
0bbydhgfoet.mp3,Duala
0bcebuzldll.mp3,Korean North
0bcsixtsndh.mp3,Quechua Southern Conchucos Ancash
0bcu3he4lt1.mp3,Dinka Northeastern
0bd1ft1elr3.mp3,Tucano
0bdq04j3lbj.mp3,Ipili
0befwfxsyhf.mp3,Chamacoco
0belw4uahoa.mp3,Terena
0beybvzisrg.mp3,Oromo Eastern
0bfdzjrifsa.mp3,Chipaya
0bfqosmghk3.mp3,Kuman
0bgkr2xzxex.mp3,Quechua Eastern
0bhpcjmmoyr.mp3,Biate
0bhuqreza33.mp3,Aguaruna Awajun
0bi5covfw54.mp3,Pampangan
0bipbh3nri5.mp3,Ipili
0bj0puixuhz.mp3,Eleme
0bjrwgv11wx.mp3,Shilluk
0bjrxhpmdkq.mp3,Sasak
0bkegrifci4.mp3,Zapotec Isthmus
0bkprmrkna4.mp3,Sanuma
0bku5ewrhe1.mp3,Shuar
0bkzff1o21w.mp3,Bora
0blfxead10k.mp3,Mazahua Central
0bm3nxpq0kk.mp3,Pijin
0boisnawrqt.mp3,Zapotec Sierra de Juarez
0boxkwy21c0.mp3,Tektiteko
0bozqbia1ew.mp3,Ilokano
0bqagqoc5lm.mp3,Tuva
0bqdgcyk3f3.mp3,Mentawai
0bqok2iym0s.mp3,Mongondow
0bqufktc4mp.mp3,Palaung Ruching
0bqypbsuugl.mp3,Nahuatl Northern Puebla
0br0rvdq01q.mp3,Kuman
0brlbym0wmo.mp3,Luwo
0brzbaynfio.mp3,Bhojpuri
0bskczy4j3b.mp3,Dinka Northeastern
0bsonr4mppt.mp3,Awa PNG
0bufduhjobe.mp3,Nahuatl Highland Puebla
0bulkfs32z2.mp3,Koorete
0bux2o555cn.mp3,Dangaleat
0bvaj5zasu2.mp3,Vietnamese
0bvijyfc1wc.mp3,Belize Kriol English
0bvv245zfe1.mp3,Chinantec de Usila
0bvzfg35h5l.mp3,Ashaninca
0bwbfbfxvr1.mp3,Korean South
0bwfdhwybte.mp3,Avokaya
0bxnwew4xeh.mp3,Kiche Cunen
0byu5uwu5q5.mp3,Duri
0c0pcz0dwfi.mp3,Murle
0c0ye4lr4bg.mp3,Palaung Ruching
0c1dp3f3akc.mp3,KalmykOirat
0c1g3rqqup2.mp3,Lampung Api
0c20nexrfeu.mp3,Ilokano
0c21aqmwj5w.mp3,Azerbaijani North
0c2ajos4zwt.mp3,Moro
0c31jv5juey.mp3,Vai
0c33m11p0z2.mp3,Akha
0c3dbusyicc.mp3,Sebat Bet Gurage_Gurage Chaha
0c3kbrm4cfu.mp3,ShipiboConibo
0c3mfhsfp1m.mp3,Karamojong
0c3nmmmsgyq.mp3,Quechua Southern Pastaza
0c3v4q44uga.mp3,Arabic
0c3voimy221.mp3,Quechua North Junin
0c3yi5r3bhs.mp3,Tektiteko
0c54cbdlqmg.mp3,Gidar
0c5aru1p00p.mp3,Wichi Lhamtes Nocten Weenhayek
0c5udouyxxs.mp3,CandoshiShapra
0cafsatkxu3.mp3,Napu
0caiddpnftb.mp3,Belize Kriol English
0cb3eow5ps2.mp3,Dangaleat
0cbjd0as2ye.mp3,Moro
0cbmx1jbzs4.mp3,Awadhi
0cc3ufer43r.mp3,Mazahua Central
0ccfif1nyce.mp3,Quechua MargosYarowilcaLauricocha
0ccp5egrsc5.mp3,Hmong Daw
0ccwkzx4g2h.mp3,Dinka Northeastern
0cd0ggxvqeo.mp3,Tuva
0cdbuauq1qu.mp3,Napu
0cdddah4lcn.mp3,Bora
0cdh0j0dqkf.mp3,Carib
0cdmthcmv0n.mp3,Tobelo
0cdz24qdg0k.mp3,Bicolano Central
0cebfyh553l.mp3,Kannada
0cevmizjc1v.mp3,Aruamu
0cfq3uvfu2y.mp3,Tzeltal Bachajon
0cfwu4ruzpi.mp3,Alangan
0cg1qirtl5v.mp3,Bicolano Central
0cg2m0h3b0h.mp3,Patamona
0cgdepj00rd.mp3,Terena
0cj0dv3rg10.mp3,Arabic Sudanese Spoken
0ck1m233jfs.mp3,Bench
0ckdpiopncp.mp3,Waiwai
0cku1l5jbjq.mp3,Tobelo
0clkzjknar4.mp3,Pamona_Bahasa Taa
0clozgvvnx0.mp3,Lampung Api
0cly1fjlo4w.mp3,Duri
0cmuxvw3ffh.mp3,Guayabero
0cnzmijrcqx.mp3,Duri
0co1y4a1esr.mp3,CandoshiShapra
0co4ek4yyqb.mp3,Akoose
0cp40xpu5mf.mp3,Cakchiquel South Central
0cpcdaj34ka.mp3,Mixtec Ayutla
0cq3bqntrzp.mp3,Chayahuita Shawi
0cq4xaz3sjj.mp3,Akoose
0cr40m1g3jo.mp3,Cakchiquel South Central
0creuwx4cob.mp3,Bokyi
0crti5bbgg0.mp3,Ojibwa Northwestern
0cs1gyiax4j.mp3,Peve
0cs2mwpaz10.mp3,Gidar
0csteykzsr2.mp3,Pamona_Bahasa Taa
0csubsrvb3a.mp3,Alladian
0ct5u0vt2ay.mp3,Bali
0ctapddgyey.mp3,Napu
0ctk5jentpj.mp3,Mongolian Halh
0ctylvqhen1.mp3,Chamacoco
0cuizcnzj0j.mp3,Korean North
0cv2cv3ghp4.mp3,Quechua MargosYarowilcaLauricocha
0cv2kjkcrgj.mp3,Ixil Nebaj
0cvxg4w0i4l.mp3,Ojibwa Northwestern
0cwr2rsylmd.mp3,Adiokrou
0cxzmce10wr.mp3,Kyrgyz
0d0rfpzewzc.mp3,Kannada
0d0t0iea1sy.mp3,Shilluk
0d0zyuor1ih.mp3,Maya Mopan
0d11h44yzbq.mp3,Kannada
0d1brgfi0xd.mp3,Mongolian Halh
0d1dcbrf451.mp3,Palaung Ruching
0d1ly3fjwnw.mp3,Javanese
0d1nqvenpln.mp3,Akoose
0d355kziacf.mp3,Sanuma
0d3rwuxydct.mp3,Mazahua Central
0d55oyhifdo.mp3,Dinka Northeastern
0d5dxrvfj3q.mp3,Jur Modo
0db4dr1uhaq.mp3,Malay
0dbta4rdola.mp3,Lao
0dbuskoqjeg.mp3,Oromo Eastern
0dcdivbpdjw.mp3,Ese Ejja
0dciul0q3kn.mp3,Quechua North Junin
0dcofvbly4k.mp3,Mentawai
0dda3wvj5yf.mp3,Vai
0dernowfww5.mp3,Kazakh
0dfatixd0qc.mp3,Pampangan
0dgc1jzqx1o.mp3,Qeqchi
0dgkrs2jitz.mp3,Murle
0dgtygkzsby.mp3,Konso
0dh2mm2410s.mp3,Waimaha
0dhgzummzgy.mp3,Arabic Egyptian Spoken
0dhtzlyzhcz.mp3,Koorete
0djdnymdciw.mp3,Ipili
0djgkjreq5t.mp3,Ojibwa Northwestern
0dk1znigqnf.mp3,Yawa
0dk5so1ssnx.mp3,Polish
0dll02tjtrq.mp3,Sanuma
0dmatkaef1z.mp3,Lao
0dmovuf4oiv.mp3,Konso
0dmpfajjcs1.mp3,Teribe
0dmvvhxdkog.mp3,Mundari
0dn4o3jafcq.mp3,Dinka Northeastern
0dndlsinwsj.mp3,Tzeltal Bachajon
0dnfaqqe0mi.mp3,Yali Angguruk
0dnky40hbzn.mp3,Mazahua Central
0dnnz0g4j51.mp3,Tzeltal Bachajon
0dpknenuq2s.mp3,Akha
0dpo5q1ruzf.mp3,Sango
0dpyrfd24i0.mp3,Thai
0dqod2peghk.mp3,Awa PNG
0dr0gyvwqcs.mp3,Bora
0dripcjww3o.mp3,Hiligaynon
0dshgashisy.mp3,Tektiteko
0dsozt3gawz.mp3,Awa PNG
0dte1g4pdau.mp3,Quechua Southern Pastaza
0dtg14aw5zx.mp3,Ashaninca
0duiz2zf2am.mp3,Mazahua Central
0duwly0n1yn.mp3,Maka
0dvb0epzzus.mp3,Yawa
0dviokv45p0.mp3,Maka
0dvvpizsxsa.mp3,Kalabari
0dxktwbjyuv.mp3,Awadhi
0dxsgxwmusf.mp3,Shilluk
0dxyvuvsens.mp3,Quechua Southern Conchucos Ancash
0dywb4lfowf.mp3,Garhwali
0dznuz22vjg.mp3,Cakchiquel South Central
0dzq04bx2m4.mp3,Huli
0dzu52btjp1.mp3,Naga Ao
0dzyqaicc4a.mp3,Nahuatl Highland Puebla
0e0l0fync4v.mp3,Arabic
0e0yolondwj.mp3,Guayabero
0e11iutzowq.mp3,Bicolano Central
0e1503zo5vl.mp3,Tepehua Pisaflores
0e1ekiaopef.mp3,Luwo
0e1jwait0ey.mp3,Qeqchi
0e2y22n21j2.mp3,Quechua Eastern
0e2y3hrzhbq.mp3,Kumyk
0e3fsexmmai.mp3,Arabic
0e4fz05g0sw.mp3,Zapotec Isthmus
0e4sqyqffsf.mp3,Kashinawa
0e4xk2hdpt2.mp3,Thai
0e5dbu4sw5r.mp3,MofuGudur
0e5q4yhvihg.mp3,Lobi
0e5zw0hkw4k.mp3,Kalabari
0eabfv1auvk.mp3,Guayabero
0ebswbxtdpy.mp3,Kera
0ec1nsncnvc.mp3,Hindi
0ed4fn0ebag.mp3,Pijin
0edibaxozlv.mp3,Malagasy Plateau
0edwxtuamwp.mp3,Murle
0ee3zqlvxwl.mp3,MofuGudur
